"Age","CountryYear","Code","Year","Births","Exposure","ASFR","AgeGrLabel"
"15","AUT1958","AUT",1958,11958,290965.67,0.0410976318958865,"15-19"
"20","AUT1958","AUT",1958,31044,196490.01,0.157992765128365,"20-24"
"25","AUT1958","AUT",1958,33301,221771.76,0.150158884070722,"25-29"
"30","AUT1958","AUT",1958,25708,259912.11,0.0989103585823685,"30-34"
"35","AUT1958","AUT",1958,14506,265582.65,0.0546195318105305,"35-39"
"40","AUT1958","AUT",1958,2898,199363.36,0.0145362718605866,"40-44"
"45","AUT1958","AUT",1958,310.56,282966.22,0.00109751616288333,"45-49"
"50","AUT1958","AUT",1958,1.44,278547.71,0.00000516967093357185,"50-54"
"10","AUT1959","AUT",1959,33,139586.19,0.000236413072095456,"10-14"
"15","AUT1959","AUT",1959,13594,290974.35,0.0467188946379638,"15-19"
"20","AUT1959","AUT",1959,33675,208558.13,0.161465774554078,"20-24"
"25","AUT1959","AUT",1959,33598,214808.34,0.15640919714756,"25-29"
"30","AUT1959","AUT",1959,24737,247987.4,0.0997510357381061,"30-34"
"35","AUT1959","AUT",1959,15541,284860.07,0.054556610900222,"35-39"
"40","AUT1959","AUT",1959,2870,180928.05,0.0158626592172966,"40-44"
"45","AUT1959","AUT",1959,325.66,279397.23,0.00116558063227756,"45-49"
"50","AUT1959","AUT",1959,3.34,279099.14,0.000011967073778873,"50-54"
"10","AUT1960","AUT",1960,27,144761.08,0.000186514220534967,"10-14"
"15","AUT1960","AUT",1960,13011,271959.87,0.0478416172209525,"15-19"
"20","AUT1960","AUT",1960,37306,235360.95,0.158505478500151,"20-24"
"25","AUT1960","AUT",1960,32933,207395.08,0.158793545150637,"25-29"
"30","AUT1960","AUT",1960,23967,237978.93,0.100710596522137,"30-34"
"35","AUT1960","AUT",1960,15169,285875.21,0.0530616138419277,"35-39"
"40","AUT1960","AUT",1960,3246,184975.42,0.017548277495464,"40-44"
"45","AUT1960","AUT",1960,285.23,269722.96,0.0010574924730175,"45-49"
"50","AUT1960","AUT",1960,0.77,280366.46,0.00000274640554365882,"50-54"
"10","AUT1961","AUT",1961,34,156217.78,0.000217644880115439,"10-14"
"15","AUT1961","AUT",1961,13227,249166.27,0.0530850343427303,"15-19"
"20","AUT1961","AUT",1961,42243,258042.55,0.163705559412585,"20-24"
"25","AUT1961","AUT",1961,32787,200820,0.163265610994921,"25-29"
"30","AUT1961","AUT",1961,23902,230311.46,0.103781201334923,"30-34"
"35","AUT1961","AUT",1961,15259,279704.18,0.0545540649410388,"35-39"
"40","AUT1961","AUT",1961,3872,207491.47,0.0186610080886699,"40-44"
"45","AUT1961","AUT",1961,236,247614.82,0.000953093195310361,"45-49"
"50","AUT1961","AUT",1961,3,279657.71,0.0000107273995771474,"50-54"
"10","AUT1962","AUT",1962,20,151622.03,0.000131906953099098,"10-14"
"15","AUT1962","AUT",1962,13116,243540.8,0.0538554525566147,"15-19"
"20","AUT1962","AUT",1962,45538,275817.09,0.165102169702392,"20-24"
"25","AUT1962","AUT",1962,32234,196358.2,0.164159174406773,"25-29"
"30","AUT1962","AUT",1962,23441,224495.94,0.104416142225111,"30-34"
"35","AUT1962","AUT",1962,14343,269470.54,0.0532265976087776,"35-39"
"40","AUT1962","AUT",1962,4380,233914.87,0.0187247608499622,"40-44"
"45","AUT1962","AUT",1962,180.63,222928.45,0.000810259973547566,"45-49"
"50","AUT1962","AUT",1962,0.37,277840.42,0.00000133169968574047,"50-54"
"10","AUT1963","AUT",1963,38,146301.06,0.000259738377835403,"10-14"
"15","AUT1963","AUT",1963,13465,243961.69,0.0551930919973542,"15-19"
"20","AUT1963","AUT",1963,47457,286400.97,0.165701254433601,"20-24"
"25","AUT1963","AUT",1963,32315,194638.57,0.166025675178358,"25-29"
"30","AUT1963","AUT",1963,23294,219988.94,0.1058871414172,"30-34"
"35","AUT1963","AUT",1963,13589,257376.2,0.0527981996781365,"35-39"
"40","AUT1963","AUT",1963,4486,262399.41,0.0170960750254736,"40-44"
"45","AUT1963","AUT",1963,162.98,196112.67,0.000831052884038548,"45-49"
"50","AUT1963","AUT",1963,2.02,276418.21,0.0000073077674585911,"50-54"
"10","AUT1964","AUT",1964,34,142222.26,0.00023906243649904,"10-14"
"15","AUT1964","AUT",1964,13310,242182.48,0.0549585585216569,"15-19"
"20","AUT1964","AUT",1964,46755,285375.89,0.163836545546998,"20-24"
"25","AUT1964","AUT",1964,33717,207167.26,0.16275255076502,"25-29"
"30","AUT1964","AUT",1964,22245,214040.28,0.103929036160857,"30-34"
"35","AUT1964","AUT",1964,12798,246365.35,0.0519472401455805,"35-39"
"40","AUT1964","AUT",1964,4786,281905.96,0.0169772927113708,"40-44"
"45","AUT1964","AUT",1964,196,178326.89,0.00109910513215365,"45-49"
"50","AUT1964","AUT",1964,0,273362.41,0,"50-54"
"10","AUT1965","AUT",1965,21,142254.71,0.000147622528631917,"10-14"
"15","AUT1965","AUT",1965,13817,243917.57,0.056646185840569,"15-19"
"20","AUT1965","AUT",1965,42944,265699.88,0.161625966861558,"20-24"
"25","AUT1965","AUT",1965,36008,233067.98,0.154495696920701,"25-29"
"30","AUT1965","AUT",1965,20641,207444.61,0.0995012596374521,"30-34"
"35","AUT1965","AUT",1965,11892,237028.58,0.0501711650130967,"35-39"
"40","AUT1965","AUT",1965,4370,283405.65,0.0154195937872093,"40-44"
"45","AUT1965","AUT",1965,230.69,182555.39,0.00126367126163736,"45-49"
"50","AUT1965","AUT",1965,0.31,264331.2,0.00000117277112955262,"50-54"
"10","AUT1966","AUT",1966,24,143634.48,0.000167090798810982,"10-14"
"15","AUT1966","AUT",1966,15818,253291.72,0.0624497318743779,"15-19"
"20","AUT1966","AUT",1966,40078,243891.32,0.164327291352558,"20-24"
"25","AUT1966","AUT",1966,37798,255107.53,0.148164971845402,"25-29"
"30","AUT1966","AUT",1966,19417,201520.14,0.0963526523949418,"30-34"
"35","AUT1966","AUT",1966,11153,230113.22,0.0484674457208499,"35-39"
"40","AUT1966","AUT",1966,4038,277820.64,0.0145345572596766,"40-44"
"45","AUT1966","AUT",1966,250.63,205089.92,0.00122204933328756,"45-49"
"50","AUT1966","AUT",1966,0.37,242870.6,0.0000015234449949891,"50-54"
"10","AUT1967","AUT",1967,27,146716.38,0.000184028531783568,"10-14"
"15","AUT1967","AUT",1967,15658,248249.4,0.0630736670461238,"15-19"
"20","AUT1967","AUT",1967,40065,240828.31,0.166363331619941,"20-24"
"25","AUT1967","AUT",1967,38912,272688.61,0.142697562615468,"25-29"
"30","AUT1967","AUT",1967,18425,197449.72,0.093314895559234,"30-34"
"35","AUT1967","AUT",1967,10469,224961.54,0.046536843586686,"35-39"
"40","AUT1967","AUT",1967,3593,268266.4,0.0133934029755497,"40-44"
"45","AUT1967","AUT",1967,255,231511.05,0.00110145930399435,"45-49"
"50","AUT1967","AUT",1967,0,220413.21,0,"50-54"
"10","AUT1968","AUT",1968,27,151598.89,0.000178101567894066,"10-14"
"15","AUT1968","AUT",1968,15461,244817.79,0.063153090304426,"15-19"
"20","AUT1968","AUT",1968,41164,243339.66,0.16916272505682,"20-24"
"25","AUT1968","AUT",1968,38259,282170.04,0.135588455811964,"25-29"
"30","AUT1968","AUT",1968,17719,195484.26,0.0906415687892212,"30-34"
"35","AUT1968","AUT",1968,9971,220611.66,0.0451970670997172,"35-39"
"40","AUT1968","AUT",1968,3233,256710.43,0.0125939565447341,"40-44"
"45","AUT1968","AUT",1968,279.63,259618.9,0.00107707874888924,"45-49"
"50","AUT1968","AUT",1968,1.37,194194.49,0.00000705478306825286,"50-54"
"10","AUT1969","AUT",1969,22,157761.02,0.000139451431031569,"10-14"
"15","AUT1969","AUT",1969,15131,244274.73,0.061942551323258,"15-19"
"20","AUT1969","AUT",1969,40343,243415.58,0.165737131534473,"20-24"
"25","AUT1969","AUT",1969,35461,280265.17,0.12652660335924,"25-29"
